species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
sp. A,358053,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
rudis,358054,Rudirhynchia rudis,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Rudirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Rudirhynchia,Jurassic,No especificado
alata,358055,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358056,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
textoria,358057,Chlamys textoria,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Chlamys,Jurassic,No especificado
wrighti,358058,Ctenostreon rugosum,Mollusca,Bivalvia,Pectinida,Limidae,Ctenostreon,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Ctenostreon,Jurassic,No especificado
corneolum,358059,Entolium (Entolium) corneolum,Mollusca,Bivalvia,Pectinida,Entoliidae,Entolium (Entolium),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Entolium,Jurassic,No especificado
auricularis,358060,Nanogyra auricularis,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Nanogyra,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Nanogyra,Jurassic,No especificado
subpunctata,358061,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
costatum,358062,Actinostreon,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
baylei,358063,Modiolus,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,-28.950001,-70.283333,suspension feeder,semi-infaunal,open shallow subtidal,"lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater",Modiolus,Jurassic,No especificado
sp. A,358064,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp.,358065,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp. A,358066,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
rudis,358067,Rudirhynchia rudis,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Rudirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Rudirhynchia,Jurassic,No especificado
alata,358068,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358069,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
subpunctata,358070,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
solitarium,358071,Actinostreon gregareum,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
sp. A,358072,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp.,358073,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
