species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
infusorioides,1275263,Palaeohystrichophora infusorioides,Dinozoa,Dinophyceae,Peridiniales,Peridiniaceae,Palaeohystrichophora,-63.868889,-57.989723,,,delta plain,,Palaeohystrichophora,Cretaceous,Cretaceous
sp.2,1275264,Trithyrodinium,Dinozoa,Dinophyceae,Peridiniales,Peridiniaceae,Trithyrodinium,-63.868889,-57.989723,,,delta plain,,Trithyrodinium,Cretaceous,Cretaceous
spp.,1275265,Xenascus,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Xenascus,-63.868889,-57.989723,,,delta plain,,Xenascus,Cretaceous,Cretaceous
eurypteris,1275266,Pterospermella,Prasinophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Pterospermella,-63.868889,-57.989723,,,delta plain,,Pterospermella,Cretaceous,Cretaceous
cribropoda,1275267,Odontochitina cribropoda,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Odontochitina,-63.868889,-57.989723,,,delta plain,,Odontochitina,Cretaceous,Cretaceous
de algas inc. sedis,1275268,,,,,,,-63.868889,-57.989723,,,delta plain,,Colonia,Cretaceous,Cretaceous
sp.,1275269,Odontochitina,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Odontochitina,-63.868889,-57.989723,,,delta plain,,Odontochitina,Cretaceous,Cretaceous
sp.,1275270,Cyclonephelium,Dinozoa,Dinophyceae,Gonyaulacales,Areoligeraceae,Cyclonephelium,-63.868889,-57.989723,,,delta plain,,Cyclonephelium,Cretaceous,Cretaceous
mawsonii,1275271,Phyllocladidites mawsonii,Pinophyta,NO_CLASS_SPECIFIED,Coniferales,Podocarpaceae,Phyllocladidites,-63.868889,-57.989723,,,delta plain,,Phyllocladidites,Cretaceous,Cretaceous
antarcticus,1275272,Microcachryidites antarcticus,Pinophyta,NO_CLASS_SPECIFIED,Coniferales,Podocarpaceae,Microcachryidites,-63.868889,-57.989723,,,delta plain,,Microcachryidites,Cretaceous,Cretaceous
triplex,1275273,Clavifera triplex,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Gleicheniaceae,Clavifera,-63.868889,-57.989723,,,delta plain,,Clavifera,Cretaceous,Cretaceous
elliottii,1275274,Herkosporites elliottii,Lycopodiophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Herkosporites,-63.868889,-57.989723,,,delta plain,,Herkosporites,Cretaceous,Cretaceous
annulatus,1275275,Cyatheacidites annulatus,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Dicksoniaceae,Cyatheacidites,-63.868889,-57.989723,,,delta plain,,Cyatheacidites,Cretaceous,Cretaceous
volkheimeri,1275276,Ischyosporites volkheimeri,Pteridophyta,Pteridopsida,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Ischyosporites,-63.868889,-57.989723,,,delta plain,,Ischyosporites,Cretaceous,Cretaceous
sp. A,1275277,Ornamentifera,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Gleicheniaceae,Ornamentifera,-63.868889,-57.989723,,,delta plain,,Ornamentifera,Cretaceous,Cretaceous
velatus,1275278,Densoisporites velatus,Lycopodiophyta,Lycopodiopsida,Selaginellales,NO_FAMILY_SPECIFIED,Densoisporites,-63.868889,-57.989723,,,delta plain,,Densoisporites,Cretaceous,Cretaceous
spp.,1275279,,,,,,,-63.868889,-57.989723,,,delta plain,,Nyssapollenties,Cretaceous,Cretaceous
sp.1,1275280,Dryadopollis,Magnoliophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Dryadopollis,-63.868889,-57.989723,,,delta plain,,Dryadopollis,Cretaceous,Cretaceous
sp.1,1275281,Proteacidites,Angiospermae,NO_CLASS_SPECIFIED,Proteales,Proteaceae,Proteacidites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Proteacidites,Cretaceous,Cretaceous
mallatus,1275282,Rugulatisporites mallatus,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Osmundaceae,Rugulatisporites,-63.868889,-57.989723,,,delta plain,,Rugulatisporites,Cretaceous,Cretaceous
sp.1,1275283,Tricolporites,Spermatophyta,Magnoliopsida,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Tricolporites,-63.868889,-57.989723,,,delta plain,,Tricolporites,Cretaceous,Cretaceous
sp.2,1275284,Proteacidites,Angiospermae,NO_CLASS_SPECIFIED,Proteales,Proteaceae,Proteacidites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Proteacidites,Cretaceous,Cretaceous
microverrucatus,1275285,Stoverisporites microverrucatus,Bryophyta,Marchantiopsida,NO_ORDER_SPECIFIED,Marchantiidae,Stoverisporites,-63.868889,-57.989723,,,delta plain,,Stoverisporites,Cretaceous,Cretaceous
minor,1275286,Triorites minor,Angiospermae,Dicotyledoneae,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Triorites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Triorites,Cretaceous,Cretaceous
ambigens,1275287,Camarozonosporites ambigens,Lycopodiophyta,Lycopodiopsida,Selaginellales,NO_FAMILY_SPECIFIED,Camarozonosporites,-63.868889,-57.989723,,,delta plain,,Camarozonosporites,Cretaceous,Cretaceous
sp.2,1275288,Dryadopollis,Magnoliophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Dryadopollis,-63.868889,-57.989723,,,delta plain,,Dryadopollis,Cretaceous,Cretaceous
baetica,1275289,Chytroeisphaeridia,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Chytroeisphaeridia,-63.868889,-57.989723,,,delta plain,,Chytroeisphaeridia,Cretaceous,Cretaceous
striatoconus,1275290,Conosphaeridium,Dinozoa,Dinophyceae,Gonyaulacales,Hystrichosphaeridiaceae,Conosphaeridium,-63.868889,-57.989723,,,delta plain,,Conosphaeridium,Cretaceous,Cretaceous
heteracanthum,1275291,Heterosphaeridium heteracanthum,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Heterosphaeridium,-63.868889,-57.989723,,,delta plain,,Heterosphaeridium,Cretaceous,Cretaceous
spp.,1275292,Impagidinium,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Impagidinium,-63.868889,-57.989723,,,delta plain,,Impagidinium,Cretaceous,Cretaceous
spp.,1275293,Operculodinium,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Operculodinium,-63.868889,-57.989723,,,delta plain,,Operculodinium,Cretaceous,Cretaceous
infusorioides,1275294,Palaeohystrichophora infusorioides,Dinozoa,Dinophyceae,Peridiniales,Peridiniaceae,Palaeohystrichophora,-63.868889,-57.989723,,,delta plain,,Palaeohystrichophora,Cretaceous,Cretaceous
sp.2,1275295,Trithyrodinium,Dinozoa,Dinophyceae,Peridiniales,Peridiniaceae,Trithyrodinium,-63.868889,-57.989723,,,delta plain,,Trithyrodinium,Cretaceous,Cretaceous
spp.,1275296,Xenascus,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Xenascus,-63.868889,-57.989723,,,delta plain,,Xenascus,Cretaceous,Cretaceous
eurypteris,1275297,Pterospermella,Prasinophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Pterospermella,-63.868889,-57.989723,,,delta plain,,Pterospermella,Cretaceous,Cretaceous
cribropoda,1275298,Odontochitina cribropoda,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Odontochitina,-63.868889,-57.989723,,,delta plain,,Odontochitina,Cretaceous,Cretaceous
de algas inc. sedis,1275299,,,,,,,-63.868889,-57.989723,,,delta plain,,Colonia,Cretaceous,Cretaceous
sp.,1275300,Odontochitina,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Odontochitina,-63.868889,-57.989723,,,delta plain,,Odontochitina,Cretaceous,Cretaceous
sp.,1275301,Cyclonephelium,Dinozoa,Dinophyceae,Gonyaulacales,Areoligeraceae,Cyclonephelium,-63.868889,-57.989723,,,delta plain,,Cyclonephelium,Cretaceous,Cretaceous
coronatum,1275302,Stephodinium coronatum,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Stephodinium,-63.868889,-57.989723,,,delta plain,,Stephodinium,Cretaceous,Cretaceous
mawsonii,1275303,Phyllocladidites mawsonii,Pinophyta,NO_CLASS_SPECIFIED,Coniferales,Podocarpaceae,Phyllocladidites,-63.868889,-57.989723,,,delta plain,,Phyllocladidites,Cretaceous,Cretaceous
antarcticus,1275304,Microcachryidites antarcticus,Pinophyta,NO_CLASS_SPECIFIED,Coniferales,Podocarpaceae,Microcachryidites,-63.868889,-57.989723,,,delta plain,,Microcachryidites,Cretaceous,Cretaceous
triplex,1275305,Clavifera triplex,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Gleicheniaceae,Clavifera,-63.868889,-57.989723,,,delta plain,,Clavifera,Cretaceous,Cretaceous
